Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
57	608.4961	312.64832	929.36096	29.686262	177.82143	693.8936	48.962334	767.77826	561.9351	34800	9.934108e-09	78441.06	-0.011779775	-12187.339	0.06496991	0.050000694	0.061666667	1318.44016289711
58	671.5294	241.23735	946.0484	30.33453	177.62962	502.0073	59.573093	574.5817	5.0732784	35400	-2.4835268e-08	39625.21	-0.008307687	-8886.171	0.018685939	0.05135706	0.060000002	1344.2671241760254
59	316.14957	367.0933	965.7968	7.0439563	178.62962	527.8875	173.438	810.0445	29.808975	36000	6.6434346e-08	129654.71	-0.010936136	-66788.26	0.24202375	0.078381926	0.16666667	1368.590414762497
60	590.34674	312.96628	910.8965	22.41034	177.55556	410.7931	103.408646	542.09436	-26.184893	36600	1.0430813e-07	54382.49	-0.015015068	-1644.2793	0.056095082	0.055520575	0.040000003	1394.7376244068146
61	651.3866	240.48802	974.7126	35.1599	177.71428	454.84207	108.03896	588.19763	13.30536	37200	-1.6142925e-08	42543.13	-0.007044857	-12201.008	0.03907713	0.054017067	0.06666667	1418.9245808124542
62	533.2095	356.2087	970.60803	18.600904	177.89285	617.8983	156.56734	806.12317	13.509385	37800	-1.06326e-08	81066.77	-0.017333908	-19160.518	0.11316317	0.053241756	0.08833333	1443.0072865486145
63	717.94403	187.0689	973.8405	29.597477	177.57143	484.6048	56.742233	546.69525	95.75196	38400	7.947286e-08	46443.863	-0.0017471034	-27473.172	0.006758295	0.0041697654	0.0016666666	1468.387618303299
64	651.3239	310.44592	943.93744	19.053295	178.44444	614.5981	170.84914	735.92126	-44.24992	39000	1.4901161e-08	42511.285	-0.013611625	-4316.3086	0.092005014	0.062273968	0.05666666	1492.5895159244537
65	645.33954	308.3018	951.9899	12.05369	178.44444	593.3169	129.39427	730.4657	-44.67648	39600	-2.9802322e-08	54311.082	-0.0067411377	-1260.9102	0.039163385	0.061264407	0.026666665	1516.870492696762
66	808.4272	104.046776	976.6238	611.3374	177.7037	635.65137	59.98671	742.23785	556.332	40200	3.973643e-08	16059.766	0.00018222381	-3248.5273	0.009999462	0.00013546497	0.0	1541.7587175369263
67	673.37494	187.10838	929.6324	219.16934	177.62962	765.79376	56.273716	857.5372	328.4992	40800	-2.9802322e-08	48631.137	-0.0019004978	-17772.018	0.04866044	0.058148902	0.015000001	1565.922281742096
68	705.64166	242.61761	974.5209	8.181	177.26923	534.709	103.84208	619.3493	-43.669514	41400	0.0	37562.168	-0.008117046	-6400.141	0.02078421	0.024628976	0.1	1590.7803151607513
69	625.0499	322.48947	972.1553	7.688136	175.96153	532.71136	258.9938	787.3382	-62.270443	42000	-9.934107e-08	49068.12	-0.013775206	-7743.1895	0.09941018	0.049411047	0.040000003	1613.9354569911957
70	671.45276	295.37643	976.6156	7.28202	177.0	542.10596	199.54826	759.8701	-57.125996	42600	-7.947286e-08	34239.8	-0.0024895568	-17700.076	0.025822213	0.012481877	0.018333333	1638.5582764148712
71	770.9263	176.84221	975.0716	20.02354	177.67857	703.46564	90.57236	817.69745	167.6315	43200	2.9802322e-08	15017.39	-0.0027972825	521.01465	0.007389417	0.0126388855	0.005	1664.5563225746155
72	808.46063	113.00762	976.6031	612.6531	177.85185	724.9735	76.21033	804.7274	-30.408482	43800	-3.973643e-08	19306.799	-0.0025445893	-1092.6086	0.016936822	0.019730398	0.0016666666	1689.9746437072754
73	766.49567	177.64633	959.91693	44.88918	177.66667	713.1725	78.38181	804.28595	-7.108994	44400	-3.973643e-08	8935.0625	-0.0002986888	-150.80725	0.014704251	0.0009342043	0.0016666666	1715.3819329738617
74	760.1811	121.83656	976.61194	539.33374	177.64285	709.31305	46.64284	789.21246	628.81934	45000	-4.967054e-09	12613.523	-0.0001183177	-732.9206	0.008915001	2.1953383e-05	0.0	1740.8080787658691
