Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
42	36.167313	35.465042	156.41618	3.9404552	189.0	41.37745	16.59506	72.364876	-0.2333175	51600	-1.9868216e-08	646.7044	-0.0025522057	-28.928726	0.56941056	0.0038945023	0.0375	1411.649035692215
43	31.312529	22.193243	112.28926	4.5545726	190.79488	39.847782	13.261513	72.20478	-4.8669477	52800	-2.9802322e-08	368.51553	-0.009737946	-85.91833	0.54547405	0.007112065	0.104166664	1450.6707780361176
44	48.763336	64.95461	395.25534	6.059854	188.725	29.146544	12.99755	51.408703	-7.3930454	54000	-1.4901161e-08	3129.6865	-0.0049377684	-198.78352	0.58496803	0.005250666	0.060000002	1486.8617975711823
45	34.83632	35.476093	169.63142	6.8136125	189.43243	34.9968	13.461346	60.16848	9.254664	55200	-8.940697e-08	709.62085	-0.006900396	-15.654113	0.6101223	0.0065340153	0.0725	1520.6532406806946
46	47.043316	27.053305	133.66751	9.016593	189.95122	39.624355	9.290316	62.94507	10.877236	56400	4.346172e-09	473.22977	-0.0051007816	-6.2490005	0.57252246	0.0047252807	0.07	1555.170079946518
47	48.26656	37.91329	160.65831	6.6902623	189.80487	38.126488	14.740432	66.07543	3.7570553	57600	-5.9604645e-08	886.30707	-0.004589364	-51.889343	0.65190667	0.0022612677	0.023333332	1593.6725611686707
48	42.994453	39.62574	183.80284	9.048818	188.325	46.073444	12.9535265	66.122665	19.966396	58800	8.692344e-09	1303.4828	-0.0045201466	-101.04785	0.65339434	0.01039144	0.14166667	1624.9946174621582
49	61.544548	83.82465	526.2587	9.251911	187.38461	41.25319	9.496311	59.71206	2.7356052	60000	5.9604645e-08	5198.215	-0.0033000086	-112.14446	0.6408518	0.006522232	0.07750001	1659.3498969078064
50	28.05099	24.67997	131.44997	8.118296	189.65	35.840714	13.08193	61.84357	10.336813	61200	6.581346e-08	416.9463	-0.0050744154	-57.63501	0.517287	0.0074371994	0.13499999	1693.8045978546143
51	37.313683	50.132843	203.85493	4.8030415	186.66667	33.290424	17.201178	59.83613	0.12143366	62400	2.483527e-09	1577.9927	-0.0030211632	-32.70165	0.59236497	0.005470542	0.07416666	1729.5188872814178
