Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
64	55.16614	71.04556	227.52255	6.7676697	138.3871	21.671524	3.4519846	39.47884	3.335551	58500	9.934108e-09	3603.8816	-0.004298722	-220.89899	0.14083984	0.01113375	0.030000001	1785.6322948932648
65	53.151127	62.803844	223.40424	7.0227494	136.42424	29.238857	5.6340694	46.281765	8.647085	59400	-2.7318796e-08	2995.97	-0.0037325183	-163.42104	0.14512788	0.022156619	0.07	1816.8977127075195
66	46.135258	61.966114	229.54312	8.42271	136.3125	55.341507	9.188271	82.47922	23.512186	60300	2.9802322e-08	3062.005	-0.0041830763	-144.68086	0.084429435	0.0061897994	0.016666666	1848.9343328475952
67	50.60172	65.06234	251.61305	8.438207	135.69698	40.503246	6.964833	60.811977	16.033043	61200	0.0	3637.4573	-0.013221758	-75.31476	0.11894971	0.025970148	0.040000003	1880.305816411972
68	49.761154	61.66477	226.0656	7.4139338	137.51613	43.71395	6.930198	53.17092	11.524329	62100	-4.967054e-09	2679.4255	-0.0071336194	-39.648895	0.19886082	0.029792743	0.06555556	1909.508172750473
69	48.848545	63.239204	290.4083	9.900906	134.66667	47.060535	10.035362	72.62158	18.23034	63000	-1.9868216e-08	3519.3616	-0.025078254	-81.64584	0.13885981	0.038253132	0.096666664	1941.4705953598022
70	41.69438	48.643635	189.6016	8.03634	137.83871	36.850925	7.0373325	63.212826	11.738093	63900	4.2219956e-08	1424.4515	-0.012661618	-53.83432	0.33267376	0.059414912	0.14111112	1969.604814529419
71	63.428383	72.35199	226.29922	8.580076	137.8125	43.02592	11.599522	70.31343	19.250168	64800	0.0	4068.7136	-0.0017281739	-114.318275	0.11454599	0.01167589	0.028888889	2000.3063638210297
72	41.020115	58.02239	227.1889	8.517162	135.13333	65.73547	15.931383	95.221954	32.69438	65700	-2.9802322e-08	3288.278	-0.004805848	-626.3117	0.055401158	0.0039208466	0.012222223	2028.573077917099
73	59.47352	68.50283	221.3256	10.1953745	135.17647	46.44669	9.272178	65.617836	12.508001	66600	4.9670536e-08	3022.8574	-0.005713016	-10.73879	0.12689285	0.029674321	0.03888889	2059.0373656749725
74	58.730404	72.24195	233.27287	12.700918	136.58064	48.189228	8.569474	69.93461	19.832634	67500	1.3659398e-08	3729.5374	-0.0031820259	-35.180836	0.11181695	0.0471292	0.08444444	2088.3877115249634
75	59.33423	78.296104	229.69585	5.5367827	135.3125	56.391857	9.889572	88.443306	18.364227	68400	-9.934108e-09	4482.2896	-0.0016226037	-40.502277	0.07553562	0.009044026	0.031111112	2119.758203983307
76	34.59472	61.56348	222.92847	5.505348	137.96774	56.86284	6.8991437	70.66364	14.895794	69300	1.9868216e-08	3216.989	-0.00088019174	-474.8243	0.035132803	0.00118192	0.0044444446	2151.063230037689
77	63.07009	84.00753	230.93571	5.498446	136.39394	39.334328	7.503478	50.906536	11.657906	70200	-4.967054e-09	5526.666	-0.004868085	-51.522785	0.08918353	0.021546455	0.05	2182.104458093643
78	43.92451	69.33433	228.2354	5.500772	136.54839	43.754215	5.8614874	53.431904	10.820321	71100	2.9802322e-08	3192.4026	-0.0018239584	-42.84082	0.046303008	0.0066812173	0.018888889	2213.2962775230408
79	48.78035	73.9745	223.573	5.5588226	136.84375	36.432217	6.657331	49.663353	6.0326843	72000	0.0	3297.3467	-0.0012136251	-25.17167	0.053447127	0.012190387	0.023333333	2245.4411430358887
80	57.767334	79.47194	231.74004	5.499027	136.88235	42.55744	7.848209	61.475998	16.251444	72900	-6.208817e-09	5028.9873	-0.00025301977	-119.89591	0.015005912	0.00049558975	0.0022222223	2276.520311355591
81	22.436092	51.246426	223.24265	5.500907	139.73334	54.11488	7.4146094	72.2578	19.464144	73800	-4.9670536e-08	2880.782	-0.005734285	-906.35986	0.036517743	0.008075266	0.03888889	2306.1600403785706
82	31.92818	60.20251	232.62112	4.505364	142.25714	27.413706	7.9152827	36.357193	2.341352	74700	-3.973643e-08	2889.2253	-0.0066103335	-59.17676	0.20380974	0.10689164	0.10222223	2331.474496603012
